id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_the_product,prior_purchases,priority,gender,discount_offered,weight_in_gms,exceeded_deadline,faixa_peso,faixa_desconto
8859,A,Ship,4,5,234.0,5,low,F,3.0,1469.0,True,1000-2000,0-5%
8860,B,Ship,5,1,242.0,5,low,F,8.0,1815.0,False,1000-2000,6-10%
8861,C,Ship,7,1,307.0,4,low,M,4.0,1371.0,True,1000-2000,0-5%
8862,F,Ship,6,3,260.0,4,low,F,1.0,1775.0,False,1000-2000,0-5%
8863,D,Ship,4,5,239.0,5,low,M,6.0,1336.0,False,1000-2000,6-10%
8864,F,Ship,6,2,305.0,4,low,M,2.0,1196.0,False,1000-2000,0-5%
8865,A,Ship,5,1,254.0,6,low,M,1.0,1021.0,False,1000-2000,0-5%
8866,B,Ship,2,3,258.0,5,low,F,6.0,1727.0,False,1000-2000,6-10%
8867,C,Ship,5,1,267.0,6,low,M,3.0,1803.0,False,1000-2000,0-5%
8868,F,Ship,4,5,246.0,5,low,F,2.0,1024.0,True,1000-2000,0-5%
8869,D,Ship,4,3,246.0,5,low,M,5.0,1395.0,False,1000-2000,0-5%
8870,F,Ship,4,4,261.0,5,medium,F,2.0,1829.0,False,1000-2000,0-5%
8871,A,Ship,5,3,239.0,5,low,M,10.0,1784.0,False,1000-2000,6-10%
8872,B,Ship,5,5,245.0,5,low,M,10.0,1289.0,True,1000-2000,6-10%
8873,C,Ship,5,3,237.0,5,medium,F,4.0,1567.0,False,1000-2000,0-5%
8874,F,Ship,7,1,307.0,4,low,M,2.0,1983.0,False,1000-2000,0-5%
8875,D,Ship,5,1,252.0,5,low,M,4.0,1308.0,False,1000-2000,0-5%
8876,F,Ship,5,4,225.0,5,low,F,6.0,2000.0,False,1000-2000,6-10%
8877,A,Ship,6,3,281.0,4,medium,F,8.0,1884.0,False,1000-2000,6-10%
8878,B,Ship,6,5,269.0,4,medium,F,7.0,1249.0,True,1000-2000,6-10%
8879,C,Road,4,1,271.0,5,medium,F,3.0,1328.0,False,1000-2000,0-5%
8880,F,Road,5,2,239.0,5,medium,F,6.0,1310.0,True,1000-2000,6-10%
8881,D,Road,7,5,308.0,4,medium,M,1.0,1477.0,True,1000-2000,0-5%
8882,F,Road,6,1,256.0,4,low,F,7.0,1372.0,True,1000-2000,6-10%
8883,A,Road,4,5,251.0,5,medium,F,7.0,1070.0,True,1000-2000,6-10%
8884,B,Road,5,3,270.0,5,medium,M,9.0,1764.0,True,1000-2000,6-10%
8885,C,Road,6,4,289.0,4,low,F,1.0,1656.0,False,1000-2000,0-5%
8886,F,Road,6,4,253.0,4,medium,F,6.0,1961.0,False,1000-2000,6-10%
8887,D,Road,7,3,305.0,4,medium,F,5.0,1198.0,False,1000-2000,0-5%
8888,F,Road,3,4,219.0,6,low,F,2.0,1837.0,False,1000-2000,0-5%
8889,A,Road,4,1,231.0,5,medium,F,10.0,1144.0,False,1000-2000,6-10%
8890,B,Road,6,4,298.0,4,medium,F,8.0,1437.0,True,1000-2000,6-10%
8891,C,Road,6,5,282.0,4,low,M,4.0,1035.0,False,1000-2000,0-5%
8892,F,Road,5,3,240.0,5,low,M,4.0,1389.0,False,1000-2000,0-5%
8893,D,Road,5,2,223.0,5,medium,F,6.0,1883.0,False,1000-2000,6-10%
8894,F,Road,4,1,226.0,5,low,M,9.0,1530.0,False,1000-2000,6-10%
8895,A,Road,5,5,253.0,5,low,F,4.0,1482.0,False,1000-2000,0-5%
8896,B,Road,6,4,249.0,4,low,M,2.0,1516.0,False,1000-2000,0-5%
8897,C,Road,6,4,294.0,4,medium,M,5.0,1174.0,False,1000-2000,0-5%
8898,F,Road,5,1,225.0,5,low,M,2.0,1812.0,False,1000-2000,0-5%
8899,D,Road,6,5,253.0,4,low,M,2.0,1893.0,True,1000-2000,0-5%
8900,F,Road,5,1,236.0,5,medium,M,10.0,1961.0,False,1000-2000,6-10%
8901,A,Flight,7,2,284.0,4,low,F,1.0,1085.0,True,1000-2000,0-5%
8902,B,Flight,5,2,244.0,5,low,M,1.0,1875.0,True,1000-2000,0-5%
8903,C,Flight,6,3,269.0,4,low,F,4.0,1948.0,True,1000-2000,0-5%
8904,F,Flight,6,5,308.0,4,low,F,7.0,1078.0,False,1000-2000,6-10%
8905,D,Flight,6,4,270.0,4,low,F,10.0,1698.0,False,1000-2000,6-10%
8906,F,Flight,5,3,238.0,5,low,M,1.0,1871.0,True,1000-2000,0-5%
8907,A,Flight,4,5,295.0,3,low,F,2.0,1693.0,False,1000-2000,0-5%
8908,B,Flight,2,2,310.0,3,low,M,1.0,1549.0,True,1000-2000,0-5%
8909,C,Flight,6,2,290.0,4,medium,M,1.0,1111.0,False,1000-2000,0-5%
8910,F,Flight,7,2,288.0,4,high,M,4.0,1321.0,False,1000-2000,0-5%
8911,D,Flight,6,5,299.0,4,low,M,2.0,1192.0,False,1000-2000,0-5%
8912,F,Flight,6,5,243.0,4,low,F,6.0,1898.0,True,1000-2000,6-10%
8913,A,Flight,5,3,229.0,5,low,F,1.0,1196.0,False,1000-2000,0-5%
8914,B,Flight,6,2,288.0,4,medium,M,9.0,1405.0,True,1000-2000,6-10%
8915,C,Flight,6,3,276.0,4,low,M,6.0,1670.0,True,1000-2000,6-10%
8916,F,Flight,7,4,270.0,4,medium,F,5.0,1735.0,False,1000-2000,0-5%
8917,D,Flight,4,3,246.0,5,medium,M,10.0,1646.0,True,1000-2000,6-10%
8918,F,Flight,5,5,269.0,5,low,M,5.0,1742.0,False,1000-2000,0-5%
8919,A,Flight,5,3,241.0,5,low,F,2.0,1834.0,True,1000-2000,0-5%
8920,B,Flight,4,4,248.0,5,medium,M,2.0,1651.0,False,1000-2000,0-5%
8921,C,Flight,6,2,271.0,4,medium,M,3.0,1636.0,False,1000-2000,0-5%
8922,F,Flight,4,5,250.0,5,medium,M,6.0,1662.0,False,1000-2000,6-10%
8923,D,Ship,5,5,229.0,5,medium,M,2.0,1975.0,True,1000-2000,0-5%
8924,F,Ship,7,3,296.0,4,low,M,4.0,1392.0,False,1000-2000,0-5%
8925,A,Ship,6,1,307.0,4,low,F,3.0,1977.0,False,1000-2000,0-5%
8926,B,Ship,7,1,258.0,4,low,F,3.0,1482.0,False,1000-2000,0-5%
8927,C,Ship,6,2,255.0,4,medium,F,3.0,1355.0,False,1000-2000,0-5%
8928,F,Ship,5,3,163.0,3,medium,M,1.0,1836.0,False,1000-2000,0-5%
8929,D,Ship,5,5,265.0,6,low,M,4.0,1937.0,True,1000-2000,0-5%
8930,F,Ship,4,3,269.0,5,low,M,2.0,1273.0,True,1000-2000,0-5%
8931,A,Ship,6,3,273.0,5,low,M,8.0,1746.0,True,1000-2000,6-10%
8932,B,Ship,5,5,257.0,5,low,M,5.0,1657.0,False,1000-2000,0-5%
8933,C,Ship,6,3,258.0,4,medium,M,9.0,1924.0,False,1000-2000,6-10%
8934,F,Ship,5,3,140.0,5,medium,F,6.0,1823.0,False,1000-2000,6-10%
8935,D,Ship,5,2,268.0,5,medium,F,2.0,1061.0,True,1000-2000,0-5%
8936,F,Ship,6,4,279.0,4,low,F,5.0,1241.0,False,1000-2000,0-5%
8937,A,Ship,4,3,225.0,5,medium,M,3.0,1224.0,False,1000-2000,0-5%
8938,B,Ship,6,4,296.0,4,medium,M,5.0,1782.0,True,1000-2000,0-5%
8939,C,Ship,5,3,162.0,4,low,F,6.0,1968.0,False,1000-2000,6-10%
8940,F,Ship,4,3,208.0,3,medium,F,7.0,4525.0,True,4001-5000,6-10%
8941,D,Ship,4,2,185.0,2,medium,F,3.0,5356.0,False,5001-6000,0-5%
8942,F,Ship,4,4,270.0,2,medium,F,6.0,5221.0,False,5001-6000,6-10%
8943,A,Ship,3,1,266.0,3,low,F,8.0,4574.0,False,4001-5000,6-10%
8944,B,Ship,4,5,148.0,2,low,M,2.0,4883.0,True,4001-5000,0-5%
8945,C,Ship,4,5,201.0,3,low,F,1.0,5898.0,True,5001-6000,0-5%
8946,F,Ship,4,1,171.0,2,medium,F,1.0,5717.0,False,5001-6000,0-5%
8947,D,Ship,4,3,236.0,3,low,M,1.0,4752.0,False,4001-5000,0-5%
8948,F,Ship,4,4,220.0,3,low,F,4.0,5622.0,False,5001-6000,0-5%
8949,A,Ship,4,2,161.0,4,low,F,9.0,4713.0,True,4001-5000,6-10%
8950,B,Ship,5,1,241.0,3,low,M,7.0,5342.0,False,5001-6000,6-10%
8951,C,Ship,5,4,208.0,2,low,M,9.0,4569.0,False,4001-5000,6-10%
8952,F,Ship,6,5,150.0,3,medium,M,3.0,5747.0,False,5001-6000,0-5%
8953,D,Ship,4,3,233.0,2,medium,F,3.0,4748.0,False,4001-5000,0-5%
8954,F,Ship,2,2,98.0,5,medium,M,10.0,4368.0,False,4001-5000,6-10%
8955,A,Ship,3,2,271.0,5,low,M,5.0,4880.0,False,4001-5000,0-5%
8956,B,Ship,2,2,247.0,3,low,F,4.0,4686.0,True,4001-5000,0-5%
8957,C,Ship,3,5,218.0,4,low,M,4.0,5330.0,False,5001-6000,0-5%
8958,F,Ship,5,3,182.0,4,medium,M,5.0,4770.0,True,4001-5000,0-5%
8959,D,Ship,4,2,261.0,2,medium,F,4.0,5926.0,True,5001-6000,0-5%
8960,F,Ship,5,1,167.0,3,low,M,9.0,4660.0,False,4001-5000,6-10%
8961,A,Ship,3,3,206.0,3,low,F,3.0,5746.0,True,5001-6000,0-5%
8962,B,Ship,6,4,257.0,6,low,F,7.0,4265.0,False,4001-5000,6-10%
8963,C,Ship,4,3,185.0,5,low,F,9.0,5648.0,False,5001-6000,6-10%
8964,F,Ship,5,2,183.0,5,high,F,8.0,4820.0,False,4001-5000,6-10%
8965,D,Ship,5,1,185.0,3,medium,F,7.0,4855.0,True,4001-5000,6-10%
8966,F,Ship,3,5,178.0,3,low,F,7.0,4135.0,False,4001-5000,6-10%
8967,A,Ship,4,4,258.0,3,high,M,10.0,4958.0,True,4001-5000,6-10%
8968,B,Ship,4,1,238.0,4,medium,F,10.0,4860.0,False,4001-5000,6-10%
8969,C,Ship,3,2,209.0,2,low,M,9.0,5203.0,False,5001-6000,6-10%
8970,F,Ship,2,3,260.0,2,low,F,1.0,4547.0,False,4001-5000,0-5%
8971,D,Ship,4,5,247.0,2,medium,F,9.0,4656.0,False,4001-5000,6-10%
8972,F,Ship,3,3,261.0,3,low,M,2.0,5629.0,True,5001-6000,0-5%
8973,A,Ship,4,5,243.0,4,low,F,1.0,5328.0,False,5001-6000,0-5%
8974,B,Ship,5,1,160.0,4,medium,M,5.0,5841.0,False,5001-6000,0-5%
8975,C,Ship,5,2,203.0,2,medium,F,2.0,4712.0,True,4001-5000,0-5%
8976,F,Ship,3,5,220.0,4,low,F,5.0,5677.0,False,5001-6000,0-5%
8977,D,Ship,3,2,233.0,3,medium,M,7.0,5838.0,False,5001-6000,6-10%
8978,F,Ship,4,4,101.0,5,low,F,8.0,4192.0,False,4001-5000,6-10%
8979,A,Ship,5,4,191.0,4,low,M,8.0,4566.0,True,4001-5000,6-10%
8980,B,Ship,3,3,265.0,3,low,F,10.0,4093.0,True,4001-5000,6-10%
8981,C,Ship,4,3,249.0,3,low,M,4.0,4811.0,False,4001-5000,0-5%
8982,F,Ship,4,4,184.0,3,low,F,10.0,5705.0,True,5001-6000,6-10%
8983,D,Ship,5,5,182.0,3,medium,F,10.0,5060.0,False,5001-6000,6-10%
8984,F,Ship,5,5,198.0,2,high,M,3.0,5249.0,False,5001-6000,0-5%
8985,A,Ship,3,1,110.0,4,medium,F,6.0,5474.0,True,5001-6000,6-10%
8986,B,Ship,4,3,268.0,2,low,F,4.0,5280.0,True,5001-6000,0-5%
8987,C,Ship,4,3,146.0,3,medium,F,10.0,5372.0,False,5001-6000,6-10%
8988,F,Ship,5,2,235.0,2,low,F,10.0,4938.0,False,4001-5000,6-10%
8989,D,Ship,5,2,270.0,3,low,M,3.0,5266.0,True,5001-6000,0-5%
8990,F,Ship,4,4,174.0,2,low,F,1.0,4541.0,True,4001-5000,0-5%
8991,A,Ship,4,2,239.0,4,low,F,10.0,5528.0,True,5001-6000,6-10%
8992,B,Ship,3,4,236.0,4,high,F,9.0,4744.0,False,4001-5000,6-10%
8993,C,Ship,4,5,162.0,2,medium,F,9.0,5345.0,True,5001-6000,6-10%
8994,F,Ship,3,4,260.0,3,low,F,8.0,5215.0,False,5001-6000,6-10%
8995,D,Ship,3,1,217.0,3,low,F,1.0,4177.0,True,4001-5000,0-5%
8996,F,Ship,5,3,232.0,3,medium,M,3.0,4526.0,False,4001-5000,0-5%
8997,A,Ship,4,5,260.0,3,medium,F,6.0,4221.0,False,4001-5000,6-10%
8998,B,Ship,4,2,184.0,3,medium,F,5.0,5931.0,True,5001-6000,0-5%
8999,C,Ship,5,4,145.0,4,low,M,4.0,4790.0,False,4001-5000,0-5%
9000,F,Ship,5,1,189.0,2,medium,M,10.0,5248.0,False,5001-6000,6-10%
9001,D,Ship,5,3,150.0,2,high,F,9.0,4446.0,False,4001-5000,6-10%
9002,F,Ship,3,3,200.0,3,low,M,3.0,5739.0,False,5001-6000,0-5%
9003,A,Ship,5,1,133.0,2,medium,M,1.0,4643.0,False,4001-5000,0-5%
9004,B,Ship,4,2,260.0,3,low,M,4.0,5504.0,True,5001-6000,0-5%
9005,C,Ship,4,2,195.0,2,medium,M,10.0,4640.0,False,4001-5000,6-10%
9006,F,Ship,4,3,245.0,4,medium,M,4.0,5940.0,False,5001-6000,0-5%
9007,D,Ship,6,3,166.0,4,low,M,10.0,5783.0,True,5001-6000,6-10%
9008,F,Ship,3,5,245.0,4,low,M,8.0,5600.0,False,5001-6000,6-10%
9009,A,Ship,6,2,130.0,5,low,M,3.0,5654.0,False,5001-6000,0-5%
9010,B,Ship,3,5,204.0,4,low,M,6.0,4879.0,True,4001-5000,6-10%
9011,C,Ship,4,2,210.0,3,low,M,8.0,5672.0,True,5001-6000,6-10%
9012,F,Ship,3,5,264.0,4,medium,F,8.0,4324.0,False,4001-5000,6-10%
9013,D,Ship,5,2,141.0,2,medium,F,1.0,4287.0,False,4001-5000,0-5%
9014,F,Ship,3,5,162.0,3,medium,F,1.0,4432.0,False,4001-5000,0-5%
9015,A,Ship,4,5,137.0,2,low,M,6.0,4055.0,True,4001-5000,6-10%
9016,B,Road,4,3,141.0,2,low,F,8.0,4331.0,False,4001-5000,6-10%
9017,C,Road,6,3,127.0,3,medium,F,7.0,5574.0,True,5001-6000,6-10%
9018,F,Road,2,2,270.0,4,low,M,6.0,5585.0,False,5001-6000,6-10%
9019,D,Road,3,4,185.0,4,medium,F,6.0,5322.0,False,5001-6000,6-10%
9020,F,Road,4,1,241.0,3,low,M,6.0,5836.0,False,5001-6000,6-10%
9021,A,Road,3,2,124.0,5,medium,M,10.0,5348.0,False,5001-6000,6-10%
9022,B,Road,3,4,228.0,4,medium,M,6.0,4947.0,False,4001-5000,6-10%
9023,C,Road,5,4,140.0,3,medium,M,4.0,4623.0,False,4001-5000,0-5%
9024,F,Road,6,3,192.0,4,low,M,9.0,5239.0,True,5001-6000,6-10%
9025,D,Road,4,2,253.0,5,low,F,3.0,4676.0,True,4001-5000,0-5%
9026,F,Road,3,4,287.0,5,medium,F,9.0,5308.0,False,5001-6000,6-10%
9027,A,Road,3,4,162.0,5,low,F,1.0,4240.0,True,4001-5000,0-5%
9028,B,Road,3,4,156.0,3,low,M,4.0,4628.0,False,4001-5000,0-5%
9029,C,Road,4,3,187.0,4,low,M,4.0,4757.0,False,4001-5000,0-5%
9030,F,Road,6,3,171.0,3,low,F,1.0,4952.0,False,4001-5000,0-5%
9031,D,Road,6,2,240.0,6,low,M,3.0,5967.0,True,5001-6000,0-5%
9032,F,Road,3,3,250.0,4,medium,M,1.0,4717.0,False,4001-5000,0-5%
9033,A,Road,4,5,180.0,4,high,F,10.0,5176.0,True,5001-6000,6-10%
9034,B,Road,3,1,242.0,4,low,M,10.0,4809.0,True,4001-5000,6-10%
9035,C,Road,3,1,162.0,4,medium,F,4.0,5683.0,False,5001-6000,0-5%
9036,F,Road,5,5,210.0,3,medium,M,8.0,5906.0,True,5001-6000,6-10%
9037,D,Road,4,1,189.0,2,medium,M,4.0,4122.0,False,4001-5000,0-5%
9038,F,Flight,4,5,187.0,2,low,M,6.0,4316.0,True,4001-5000,6-10%
9039,A,Flight,4,1,179.0,2,medium,F,7.0,4605.0,False,4001-5000,6-10%
9040,B,Flight,2,1,199.0,2,low,F,10.0,5345.0,False,5001-6000,6-10%
9041,C,Flight,5,1,158.0,4,medium,F,4.0,5687.0,True,5001-6000,0-5%
9042,F,Flight,3,4,181.0,3,low,M,10.0,5276.0,True,5001-6000,6-10%
9043,D,Flight,3,5,238.0,2,low,F,8.0,5769.0,False,5001-6000,6-10%
9044,F,Flight,5,5,225.0,4,high,F,3.0,5274.0,True,5001-6000,0-5%
9045,A,Flight,5,1,172.0,2,medium,F,3.0,4892.0,False,4001-5000,0-5%
9046,B,Flight,4,2,199.0,3,low,M,4.0,4070.0,False,4001-5000,0-5%
9047,C,Flight,4,4,248.0,3,high,F,10.0,4532.0,False,4001-5000,6-10%
9048,F,Flight,3,2,226.0,3,low,F,5.0,5484.0,False,5001-6000,0-5%
9049,D,Flight,4,1,177.0,3,medium,F,6.0,5215.0,False,5001-6000,6-10%
9050,F,Flight,3,4,238.0,2,low,M,5.0,4349.0,True,4001-5000,0-5%
9051,A,Flight,4,5,161.0,3,low,F,5.0,4732.0,False,4001-5000,0-5%
9052,B,Flight,2,1,271.0,3,low,M,1.0,4537.0,False,4001-5000,0-5%
9053,C,Flight,5,2,254.0,3,medium,F,8.0,5892.0,True,5001-6000,6-10%
9054,F,Flight,4,2,238.0,2,low,M,1.0,5229.0,False,5001-6000,0-5%
9055,D,Flight,5,5,169.0,3,medium,M,2.0,5942.0,True,5001-6000,0-5%
9056,F,Flight,3,3,168.0,2,high,M,10.0,5334.0,True,5001-6000,6-10%
9057,A,Flight,2,5,243.0,3,high,M,7.0,4486.0,False,4001-5000,6-10%
9058,B,Flight,4,5,195.0,3,medium,M,7.0,4835.0,False,4001-5000,6-10%
9059,C,Flight,3,2,227.0,3,high,M,5.0,4167.0,True,4001-5000,0-5%
9060,F,Ship,3,2,199.0,3,medium,F,10.0,5768.0,True,5001-6000,6-10%
9061,D,Ship,3,2,160.0,3,low,F,7.0,4468.0,False,4001-5000,6-10%
9062,F,Ship,2,2,160.0,6,medium,F,9.0,4972.0,True,4001-5000,6-10%
9063,A,Ship,4,4,251.0,4,low,F,10.0,5984.0,False,5001-6000,6-10%
9064,B,Ship,6,2,225.0,4,low,M,6.0,5787.0,True,5001-6000,6-10%
9065,C,Ship,4,3,260.0,4,low,F,5.0,5307.0,False,5001-6000,0-5%
9066,F,Ship,4,2,263.0,3,medium,M,4.0,4935.0,True,4001-5000,0-5%
9067,D,Ship,5,5,196.0,3,medium,M,7.0,4084.0,True,4001-5000,6-10%
9068,F,Ship,4,2,184.0,2,medium,F,10.0,5959.0,False,5001-6000,6-10%
9069,A,Ship,5,5,231.0,2,medium,F,6.0,5862.0,False,5001-6000,6-10%
9070,B,Ship,3,1,153.0,2,low,M,7.0,5292.0,True,5001-6000,6-10%
9071,C,Ship,3,1,173.0,2,low,F,7.0,4684.0,False,4001-5000,6-10%
9072,F,Ship,3,1,159.0,3,low,F,3.0,5044.0,False,5001-6000,0-5%
9073,D,Ship,5,4,137.0,2,low,M,7.0,5338.0,True,5001-6000,6-10%
9074,F,Ship,3,1,249.0,2,medium,M,9.0,5987.0,True,5001-6000,6-10%
9075,A,Ship,3,5,247.0,3,medium,M,10.0,4286.0,True,4001-5000,6-10%
9076,B,Ship,3,2,205.0,3,high,M,3.0,4563.0,True,4001-5000,0-5%
9077,C,Ship,3,2,209.0,3,medium,M,5.0,4999.0,False,4001-5000,0-5%
9078,F,Ship,3,2,247.0,2,high,M,1.0,4242.0,False,4001-5000,0-5%
9079,D,Ship,4,3,225.0,2,medium,F,2.0,4169.0,True,4001-5000,0-5%
9080,F,Ship,3,5,150.0,10,low,M,2.0,5042.0,False,5001-6000,0-5%
9081,A,Ship,5,2,210.0,7,medium,F,4.0,4525.0,True,4001-5000,0-5%
9082,B,Ship,3,2,247.0,2,low,F,2.0,4677.0,False,4001-5000,0-5%
9083,C,Ship,5,5,167.0,3,medium,M,9.0,4319.0,True,4001-5000,6-10%
9084,F,Ship,4,5,233.0,3,medium,F,7.0,5604.0,True,5001-6000,6-10%
9085,D,Ship,2,5,204.0,10,low,F,1.0,4709.0,False,4001-5000,0-5%
9086,F,Ship,5,5,140.0,8,medium,M,2.0,4793.0,True,4001-5000,0-5%
9087,A,Ship,6,3,218.0,6,high,M,8.0,5879.0,False,5001-6000,6-10%
9088,B,Ship,3,3,250.0,3,low,M,9.0,4993.0,False,4001-5000,6-10%
9089,C,Ship,3,4,225.0,4,low,M,10.0,4460.0,True,4001-5000,6-10%
9090,F,Ship,7,1,308.0,4,medium,F,2.0,1504.0,False,1000-2000,0-5%
9091,D,Ship,6,5,256.0,4,low,F,2.0,1163.0,False,1000-2000,0-5%
9092,F,Ship,4,3,251.0,5,medium,M,2.0,1482.0,False,1000-2000,0-5%
9093,A,Ship,5,3,270.0,5,medium,F,8.0,1862.0,False,1000-2000,6-10%
9094,B,Ship,6,5,289.0,4,low,M,5.0,1600.0,True,1000-2000,0-5%
9095,C,Ship,6,3,253.0,4,medium,F,9.0,1823.0,False,1000-2000,6-10%
9096,F,Ship,7,2,305.0,4,medium,M,7.0,1813.0,False,1000-2000,6-10%
9097,D,Ship,3,3,219.0,6,low,M,10.0,1116.0,False,1000-2000,6-10%
9098,F,Ship,4,2,231.0,5,medium,M,8.0,1562.0,False,1000-2000,6-10%
9099,A,Ship,6,5,298.0,4,medium,F,5.0,1804.0,False,1000-2000,0-5%
9100,B,Ship,6,5,282.0,4,low,M,5.0,1364.0,True,1000-2000,0-5%
9101,C,Ship,5,1,240.0,5,low,M,2.0,1400.0,True,1000-2000,0-5%
9102,F,Ship,5,3,223.0,5,medium,M,4.0,1817.0,False,1000-2000,0-5%
9103,D,Ship,4,4,226.0,5,low,M,1.0,1761.0,False,1000-2000,0-5%
9104,F,Ship,5,3,253.0,5,low,M,6.0,1028.0,False,1000-2000,6-10%
9105,A,Ship,6,4,249.0,4,low,M,10.0,1318.0,False,1000-2000,6-10%
9106,B,Ship,6,5,294.0,4,medium,M,10.0,1628.0,True,1000-2000,6-10%
9107,C,Ship,4,4,263.0,3,medium,F,8.0,5475.0,False,5001-6000,6-10%
9108,F,Ship,5,2,196.0,3,medium,M,4.0,4868.0,True,4001-5000,0-5%
9109,D,Ship,4,5,184.0,2,medium,F,2.0,4429.0,False,4001-5000,0-5%
9110,F,Ship,5,4,231.0,2,medium,F,7.0,5491.0,True,5001-6000,6-10%
9111,A,Ship,3,1,153.0,2,low,M,6.0,4996.0,False,4001-5000,6-10%
9112,B,Ship,3,2,173.0,2,low,F,8.0,5492.0,False,5001-6000,6-10%
9113,C,Ship,3,1,159.0,3,low,M,10.0,4358.0,True,4001-5000,6-10%
9114,F,Ship,5,4,137.0,2,low,F,2.0,4077.0,True,4001-5000,0-5%
9115,D,Ship,3,1,249.0,2,medium,F,1.0,5190.0,True,5001-6000,0-5%
9116,F,Ship,3,4,247.0,3,medium,M,9.0,5383.0,False,5001-6000,6-10%
9117,A,Ship,3,3,205.0,3,high,M,1.0,5851.0,True,5001-6000,0-5%
9118,B,Ship,3,3,209.0,3,medium,F,5.0,5831.0,False,5001-6000,0-5%
9119,C,Ship,3,3,247.0,2,high,F,8.0,4593.0,True,4001-5000,6-10%
9120,F,Ship,4,1,225.0,2,medium,M,5.0,5714.0,True,5001-6000,0-5%
9121,D,Ship,3,2,150.0,10,low,F,6.0,5580.0,False,5001-6000,6-10%
9122,F,Ship,5,3,210.0,7,medium,F,4.0,4362.0,False,4001-5000,0-5%
9123,A,Ship,3,1,247.0,2,low,M,7.0,5557.0,False,5001-6000,6-10%
9124,B,Ship,5,5,167.0,3,medium,M,1.0,4314.0,False,4001-5000,0-5%
9125,C,Ship,4,5,233.0,3,medium,F,2.0,4501.0,False,4001-5000,0-5%
9126,F,Ship,2,4,204.0,10,low,F,4.0,4679.0,True,4001-5000,0-5%
9127,D,Ship,5,1,140.0,8,medium,M,7.0,5437.0,False,5001-6000,6-10%
9128,F,Ship,6,3,218.0,6,high,F,5.0,4352.0,True,4001-5000,0-5%
9129,A,Ship,3,1,250.0,3,low,F,7.0,4760.0,False,4001-5000,6-10%
9130,B,Ship,3,1,225.0,4,low,F,10.0,4080.0,True,4001-5000,6-10%
9131,C,Ship,7,5,308.0,4,medium,M,6.0,1165.0,False,1000-2000,6-10%
9132,F,Ship,6,3,256.0,4,low,F,9.0,1212.0,True,1000-2000,6-10%
9133,D,Ship,4,5,251.0,5,medium,F,7.0,1381.0,False,1000-2000,6-10%
9134,F,Ship,5,1,270.0,5,medium,M,10.0,1397.0,False,1000-2000,6-10%
9135,A,Ship,6,1,289.0,4,low,M,3.0,1181.0,True,1000-2000,0-5%
9136,B,Ship,6,5,253.0,4,medium,M,8.0,1899.0,True,1000-2000,6-10%
9137,C,Ship,7,3,305.0,4,medium,F,6.0,1167.0,False,1000-2000,6-10%
9138,F,Ship,3,5,219.0,6,low,M,1.0,1394.0,False,1000-2000,0-5%
9139,D,Ship,4,1,231.0,5,medium,M,6.0,1231.0,False,1000-2000,6-10%
9140,F,Ship,6,5,298.0,4,medium,F,8.0,1759.0,True,1000-2000,6-10%
9141,A,Ship,6,1,282.0,4,low,M,7.0,1758.0,False,1000-2000,6-10%
9142,B,Ship,5,3,240.0,5,low,M,6.0,1489.0,False,1000-2000,6-10%
9143,C,Ship,5,5,223.0,5,medium,M,8.0,1132.0,False,1000-2000,6-10%
9144,F,Ship,5,2,140.0,5,medium,M,2.0,1521.0,False,1000-2000,0-5%
9145,D,Ship,5,3,268.0,5,medium,M,5.0,1365.0,False,1000-2000,0-5%
9146,F,Ship,6,3,279.0,4,low,M,7.0,1090.0,True,1000-2000,6-10%
9147,A,Ship,4,3,225.0,5,medium,F,6.0,1573.0,False,1000-2000,6-10%
9148,B,Ship,6,3,296.0,4,medium,M,7.0,1515.0,False,1000-2000,6-10%
9149,C,Ship,5,5,162.0,4,low,M,8.0,1311.0,False,1000-2000,6-10%
9150,F,Ship,6,5,255.0,4,low,F,2.0,1218.0,True,1000-2000,0-5%
9151,D,Ship,7,5,255.0,4,low,F,9.0,1367.0,False,1000-2000,6-10%
9152,F,Ship,6,2,286.0,4,medium,M,6.0,1556.0,True,1000-2000,6-10%
9153,A,Road,7,2,267.0,4,medium,M,8.0,1285.0,False,1000-2000,6-10%
9154,B,Road,5,1,226.0,6,low,M,5.0,1078.0,False,1000-2000,0-5%
9155,C,Road,6,5,285.0,4,medium,F,5.0,1631.0,True,1000-2000,0-5%
9156,F,Road,6,3,276.0,4,low,F,5.0,1637.0,True,1000-2000,0-5%
9157,D,Road,6,2,257.0,4,low,F,5.0,1565.0,True,1000-2000,0-5%
9158,F,Road,6,4,287.0,4,medium,F,10.0,1811.0,True,1000-2000,6-10%
9159,A,Road,6,1,283.0,5,low,F,10.0,1304.0,True,1000-2000,6-10%
9160,B,Road,6,3,309.0,4,medium,M,2.0,1270.0,True,1000-2000,0-5%
9161,C,Road,4,3,274.0,5,low,F,3.0,1637.0,True,1000-2000,0-5%
9162,F,Road,7,4,244.0,4,medium,F,4.0,1953.0,True,1000-2000,0-5%
9163,D,Road,5,3,222.0,6,low,M,9.0,1656.0,False,1000-2000,6-10%
9164,F,Road,6,1,264.0,4,low,M,5.0,1900.0,False,1000-2000,0-5%
9165,A,Road,4,2,232.0,5,medium,M,3.0,1197.0,False,1000-2000,0-5%
